GRIMM Diameter, Qscat (1.54 + 0)
   5.09, 15.5111217499
    5.1, 15.7343769073
   5.11, 17.6811313629
   5.12,  14.695687294
   5.13, 14.6335105896
   5.14, 14.7405166626
   5.15, 14.9415597916
   5.16, 15.2853899002
   5.17, 16.0009880066
   5.18, 17.9750976562
   5.19, 17.3029308319
    5.2, 16.4555149078
   5.21, 16.4627475739
   5.22, 16.3546695709
   5.23, 16.1491699219
   5.24, 15.9810304642
   5.25, 16.0332603455
   5.26, 18.2328605652
   5.27, 15.1346817017
   5.28,  14.960316658
   5.29, 14.9635362625
    5.3, 15.0474081039
   5.31, 15.2546052933
   5.32, 15.7114372253
   5.33, 17.0971794128
   5.34, 18.4840927124
   5.35,  16.822271347
   5.36, 17.0289707184
   5.37, 17.0748729706
   5.38, 16.8746852875
   5.39, 16.6497001648
    5.4, 16.5794792175
   5.41, 18.2700386047
   5.42, 15.8746891022
   5.43, 15.6442623138
   5.44, 15.5550098419
   5.45, 15.5556182861
   5.46, 15.6571826935
   5.47, 15.9257392883
   5.48, 16.6972923279
   5.49, 19.9683322906
    5.5,   17.26263237
   5.51, 17.6195659637
   5.52, 17.9921112061
   5.53, 17.9852275848
   5.54, 17.8291969299
   5.55, 17.7521686554
   5.56, 18.8206672668
   5.57, 17.2812519073
   5.58, 17.0169391632
   5.59, 16.8630867004
    5.6, 16.7538566589
   5.61, 16.7222690582
   5.62, 16.8134002686
   5.63, 17.2019939423
   5.64, 20.2127799988
   5.65, 17.9117908478
   5.66, 18.2654876709
   5.67, 18.9248886108
   5.68, 19.1994190216
   5.69, 19.1657714844
    5.7, 19.1433563232
   5.71, 19.9330215454
   5.72, 18.8509578705
   5.73, 18.5992984772
   5.74, 18.3668994904
   5.75, 18.1349086761
   5.76, 17.9521884918
   5.77, 17.8711185455
   5.78, 17.9967403412
   5.79,  19.673166275
    5.8, 18.5241546631
   5.81, 18.7251701355
   5.82, 19.3920536041
   5.83, 19.7905540466
   5.84, 19.7829551697
   5.85, 19.8018398285
   5.86, 20.5568008423
   5.87, 19.8335781097
   5.88, 19.7064113617
   5.89, 19.4913291931
    5.9, 19.2030162811
   5.91, 18.9095573425
   5.92, 18.6791992188
   5.93, 18.5980911255
   5.94, 19.3744125366
   5.95, 18.9638519287
   5.96, 18.9984035492
   5.97,  19.624666214
   5.98, 20.2073459625
   5.99, 20.2133769989
      6,  20.159072876
   6.01, 20.8768787384
   6.02,   20.47224617
   6.03, 20.4910793304
   6.04, 20.3405323029
   6.05, 20.0559825897
   6.06, 19.7290401459
   6.07, 19.4350700378
   6.08, 19.2520370483
   6.09,  19.555273056
    6.1, 19.5211334229
   6.11, 19.5818710327
   6.12, 20.2424030304
   6.13, 21.1247787476
   6.14, 21.2656669617
   6.15, 21.0422000885
   6.16, 22.0926113129
   6.17, 21.6506443024
   6.18, 22.0091457367
   6.19, 22.0927867889
    6.2, 21.8933639526
   6.21, 21.5620956421
   6.22, 21.2050704956
   6.23, 20.8942947388
   6.24, 20.8600273132
   6.25, 20.8172397614
   6.26, 20.7483921051
   6.27, 21.1846675873
   6.28,  22.032535553
   6.29,  22.481470108
    6.3, 22.0646858215
   6.31, 26.1974563599
   6.32, 22.6805496216
   6.33,  23.354183197
   6.34, 23.8036060333
   6.35, 23.8225746155
   6.36, 23.6070613861
   6.37, 23.3517131805
   6.38, 23.1002788544
   6.39, 22.9811210632
    6.4, 22.8045082092
   6.41, 22.6910057068
   6.42, 22.9268074036
   6.43, 23.6108264923
   6.44, 24.3967094421
   6.45, 23.5963439941
   6.46,  23.552734375
   6.47, 23.6570682526
   6.48, 24.4209079742
   6.49, 25.1816921234
    6.5, 25.4046936035
   6.51, 25.1417884827
   6.52, 24.8499126434
   6.53, 24.6241226196
   6.54, 24.4927501678
   6.55, 24.2628612518
   6.56, 24.1053562164
   6.57,  24.191368103
   6.58, 24.6651000977
   6.59, 25.6639499664
    6.6, 24.8369255066
   6.61, 23.8648395538
   6.62, 24.0416717529
   6.63, 24.7664871216
   6.64, 25.7848529816
   6.65, 26.4952144623
   6.66, 26.2414264679
   6.67, 25.7320308685
   6.68, 25.4340343475
   6.69, 25.2705631256
    6.7, 25.0063991547
   6.71, 24.7693920135
   6.72, 24.6996746063
   6.73, 24.9635562897
   6.74, 26.0259017944
   6.75,  26.498260498
   6.76, 24.2522296906
   6.77,  24.049156189
   6.78, 24.6122283936
   6.79, 25.6805324554
    6.8, 27.0921554565
   6.81, 27.5241851807
   6.82,  26.753692627
   6.83, 26.2967891693
   6.84, 26.2454242706
   6.85,  25.979719162
   6.86, 25.7440376282
   6.87, 25.5747737885
   6.88, 25.6114940643
   6.89, 26.2453804016
    6.9, 28.1107559204
   6.91, 25.4548339844
   6.92, 24.6349639893
   6.93, 24.8926811218
   6.94, 25.6482715607
   6.95, 27.0597000122
   6.96, 28.6918182373
   6.97, 28.3084030151
   6.98, 27.5817508698
   6.99, 30.0434169769
      7, 27.5333003998
   7.01, 27.4388332367
   7.02, 27.3082122803
   7.03, 27.2651100159
   7.04, 27.5655345917
   7.05, 31.0327606201
   7.06, 28.0247592926
   7.07, 26.2248573303
   7.08, 26.1268825531
   7.09, 26.4747886658
    7.1, 27.3760929108
   7.11,  29.252363205
   7.12, 30.1593570709
   7.13, 28.7296543121
   7.14, 28.4510536194
   7.15, 28.5693950653
   7.16, 28.6475372314
   7.17, 28.6115913391
   7.18, 28.5873832703
   7.19, 28.7456321716
    7.2, 29.8742313385
   7.21, 30.9353160858
   7.22, 27.8408432007
   7.23, 27.5312099457
   7.24, 27.6119041443
   7.25, 28.0542011261
   7.26, 29.3035755157
   7.27, 31.6526203156
   7.28, 30.2499256134
   7.29, 29.2993774414
    7.3, 29.4517002106
   7.31, 29.6253471375
   7.32, 29.6093120575
   7.33, 29.5281581879
   7.34, 29.5286426544
   7.35, 30.0567684174
   7.36, 33.4952697754
   7.37, 28.7682323456
   7.38, 28.1907672882
   7.39, 28.0432300568
    7.4, 28.1597213745
   7.41,  28.821472168
   7.42, 31.1096801758
   7.43, 31.8798618317
   7.44, 29.5859870911
   7.45, 29.5913257599
   7.46,  29.924911499
   7.47, 30.0615234375
   7.48, 30.0793914795
   7.49, 30.1164894104
    7.5, 30.4137535095
   7.51, 33.7439498901
   7.52, 29.9477577209
   7.53, 29.1987495422
   7.54, 28.9160919189
   7.55, 28.7770881653
   7.56, 28.9378643036
   7.57, 30.0668201447
   7.58, 33.7700691223
   7.59, 30.5954723358
    7.6, 30.2060127258
   7.61, 30.6345272064
   7.62, 30.8769321442
   7.63, 30.9466819763
   7.64, 31.0523300171
   7.65, 31.2632846832
   7.66, 32.9361534119
   7.67, 31.7435970306
   7.68, 30.8993759155
   7.69, 30.6633796692
    7.7, 30.4877033234
   7.71, 30.4451007843
   7.72, 30.8459758759
   7.73, 33.7174682617
   7.74, 32.7974853516
   7.75,  31.678188324
   7.76, 32.1295433044
   7.77, 32.4617385864
   7.78, 32.5170860291
   7.79, 32.6249389648
    7.8, 32.8692016602
   7.81, 33.7322463989
   7.82, 33.9302940369
   7.83, 33.0357208252
   7.84, 32.9145851135
   7.85, 32.7848930359
   7.86, 32.6686096191
   7.87, 32.7298583984
   7.88, 33.8655319214
   7.89, 36.1366462708
    7.9, 33.5235214233
   7.91, 33.8357658386
   7.92, 34.1495628357
   7.93, 34.0553474426
   7.94, 34.0640335083
   7.95, 34.3067169189
   7.96, 34.8313941956
   7.97, 35.7549438477
   7.98, 34.6591491699
   7.99, 34.5730438232
      8, 34.4715194702
   8.01, 34.3323364258
   8.02, 34.2371482849
   8.03, 34.5789337158
   8.04, 39.2546653748
   8.05, 34.8281135559
   8.06, 35.0937080383
   8.07, 35.6145248413
   8.08, 35.3602561951
   8.09, 35.0073814392
    8.1, 35.1491317749
   8.11, 35.6027412415
   8.12,   37.33045578
   8.13, 35.7797851562
   8.14,  35.736328125
   8.15, 35.7019958496
   8.16, 35.6151390076
   8.17, 35.4964675903
   8.18,  35.487285614
   8.19, 38.4473152161
    8.2, 35.9585456848
   8.21,  35.961479187
   8.22, 36.6836776733
   8.23, 36.6294059753
   8.24, 35.7365341187
   8.25,  35.599281311
   8.26, 36.0587234497
   8.27, 38.4362449646
   8.28, 36.5584526062
   8.29, 36.5049819946
    8.3, 36.4953422546
   8.31, 36.5070495605
   8.32, 36.4824829102
   8.33, 36.4573135376
   8.34, 37.3321113586
   8.35, 37.1941719055
   8.36,  37.020072937
   8.37, 37.9249229431
   8.38, 38.8307685852
   8.39, 37.8251533508
    8.4, 37.1062011719
   8.41, 37.4621658325
   8.42, 40.6072769165
   8.43, 38.4246520996
   8.44,  38.325012207
   8.45, 38.1905975342
   8.46,  38.189414978
   8.47, 38.2427406311
   8.48, 38.2533874512
   8.49, 38.5235862732
    8.5, 39.0491867065
   8.51, 38.5634841919
   8.52, 39.3014564514
   8.53, 40.7417373657
   8.54, 40.4615898132
   8.55, 38.9199295044
   8.56, 38.9186134338
   8.57, 42.0462265015
   8.58,  40.395160675
   8.59, 40.5076789856
    8.6, 40.2284812927
   8.61, 40.1017837524
   8.62, 40.1867752075
   8.63, 40.3119735718
   8.64, 40.4979438782
   8.65, 41.2243919373
   8.66, 40.4568367004
   8.67, 40.9056053162
   8.68, 42.1905593872
   8.69, 43.2471351624
    8.7, 40.9124183655
   8.71, 40.1259727478
   8.72, 42.4245414734
   8.73, 41.6185913086
   8.74,  42.116027832
   8.75, 41.6095924377
   8.76, 41.0291748047
   8.77, 40.9110374451
   8.78, 41.0717849731
   8.79, 41.3154411316
    8.8, 42.6346054077
   8.81,  41.403629303
   8.82, 41.7226448059
   8.83, 42.6936759949
   8.84, 44.8249015808
   8.85, 42.9283561707
   8.86, 40.9243888855
   8.87, 41.7674064636
   8.88, 41.8530426025
   8.89, 43.0398979187
    8.9, 43.0144233704
   8.91, 42.0017662048
   8.92, 41.4692115784
   8.93, 41.4669151306
   8.94, 41.6369361877
   8.95, 43.7767982483
   8.96, 41.7748718262
   8.97, 42.0076637268
   8.98, 42.6822319031
   8.99, 44.7557029724
      9,  45.560508728
   9.01, 42.0576820374
   9.02, 41.7398033142
   9.03, 42.0279045105
   9.04, 43.4857330322
   9.05, 44.7185020447
   9.06, 43.6949081421
   9.07, 42.4851341248
   9.08, 42.2030601501
   9.09,  42.350982666
    9.1, 45.4171295166
   9.11, 42.5393447876
   9.12, 42.6994628906
   9.13, 43.1065940857
   9.14, 44.3815155029
   9.15, 47.7124633789
   9.16, 44.0225601196
   9.17, 42.8436012268
   9.18, 42.8969535828
   9.19, 43.9020423889
    9.2, 45.9216537476
   9.21, 46.4570655823
   9.22, 44.8015441895
   9.23, 44.1608467102
   9.24, 44.2713241577
   9.25, 47.5130805969
   9.26, 44.5062866211
   9.27, 44.6354446411
   9.28, 44.9141921997
   9.29, 45.6551971436
    9.3, 48.7069664001
   9.31, 47.1952095032
   9.32, 45.1381340027
   9.33, 44.9005851746
   9.34, 45.3053741455
   9.35, 46.7835655212
   9.36, 49.0554237366
   9.37,  47.492931366
   9.38, 45.8951530457
   9.39, 45.6553726196
    9.4, 47.4372177124
   9.41,  45.779548645
   9.42, 45.9023933411
   9.43, 46.1615753174
   9.44, 46.6964416504
   9.45, 48.5463943481
   9.46, 50.4327735901
   9.47, 47.1143035889
   9.48, 46.7845535278
   9.49, 46.8980865479
    9.5, 47.6100273132
   9.51, 49.9284324646
   9.52, 50.7140274048
   9.53, 48.0068664551
   9.54, 47.2484588623
   9.55, 47.6208992004
   9.56, 46.8968582153
   9.57, 46.7302360535
   9.58, 46.7607688904
   9.59, 47.0332145691
    9.6, 47.9883460999
   9.61, 52.7133636475
   9.62, 47.9281539917
   9.63,   47.50207901
   9.64, 47.5529327393
   9.65, 47.8984184265
   9.66, 49.2970695496
   9.67, 52.8183174133
   9.68, 50.0714530945
   9.69, 48.6514472961
    9.7, 48.6810836792
   9.71, 48.3147010803
   9.72, 47.9350891113
   9.73, 47.8012733459
   9.74, 47.9433898926
   9.75,  48.466293335
   9.76, 52.4976043701
   9.77, 49.3451652527
   9.78, 48.7177772522
   9.79, 48.7753829956
    9.8, 48.9411430359
   9.81,  49.525428772
   9.82, 52.3078308105
   9.83, 53.0865783691
   9.84, 50.4846458435
   9.85, 50.5195007324
   9.86, 50.5254364014
   9.87,   49.98462677
   9.88, 49.5751457214
   9.89, 49.5831451416
    9.9, 49.8954849243
   9.91, 51.6208953857
   9.92, 51.4322929382
   9.93, 50.5601959229
   9.94, 50.7562828064
   9.95, 51.0146446228
   9.96, 51.3884620667
   9.97, 52.6778106689
   9.98, 56.8763160706
   9.99,  53.039691925
     10, 52.9190483093
  10.01, 53.4281730652
  10.02, 53.0616569519
  10.03, 52.2846984863
  10.04, 52.0250511169
  10.05, 52.1679267883
  10.06, 54.2798347473
  10.07,  54.359828949
  10.08, 52.6891174316
  10.09, 52.9326171875
   10.1, 53.2979545593
  10.11, 53.6997299194
  10.12, 54.4382362366
  10.13, 58.2334022522
  10.14, 56.0930099487
  10.15, 55.4166793823
  10.16, 56.2345046997
  10.17,  56.324546814
  10.18, 55.0773239136
