Cdia, CQs, CSQs, Mdia, MQs, MSQs
1.800000, 2.493659, 2.461043, 1.800000, 2.696190, 3.017019
1.810000, 2.495317, 2.477237, 1.810000, 2.647124, 3.044210
1.820000, 2.486898, 2.493445, 1.820000, 2.758670, 3.071512
1.830000, 2.473750, 2.509668, 1.830000, 3.319459, 3.098925
1.840000, 2.461489, 2.525906, 1.840000, 3.545206, 3.126449
1.850000, 2.454782, 2.542159, 1.850000, 2.589907, 3.154083
1.860000, 2.456985, 2.558427, 1.860000, 2.328748, 3.181828
1.870000, 2.470299, 2.574712, 1.870000, 2.292384, 3.209684
1.880000, 2.496031, 2.591013, 1.880000, 2.369489, 3.237650
1.890000, 2.534812, 2.607330, 1.890000, 2.589674, 3.265727
1.900000, 2.586580, 2.623665, 1.900000, 3.072398, 3.293914
1.910000, 2.650444, 2.640017, 1.910000, 3.711060, 3.322212
1.920000, 2.724352, 2.656386, 1.920000, 3.578575, 3.350620
1.930000, 2.804539, 2.672774, 1.930000, 3.104978, 3.379139
1.940000, 2.885040, 2.689180, 1.940000, 2.840921, 3.407769
1.950000, 2.957767, 2.705604, 1.950000, 2.737463, 3.436509
1.960000, 3.014018, 2.722048, 1.960000, 2.763777, 3.465359
1.970000, 3.047599, 2.738510, 1.970000, 3.105618, 3.494320
1.980000, 3.057894, 2.754992, 1.980000, 4.171474, 3.523392
1.990000, 3.050224, 2.771494, 1.990000, 2.885445, 3.552573
2.000000, 3.033041, 2.788015, 2.000000, 2.578082, 3.581866
2.010000, 3.014483, 2.804557, 2.010000, 2.540978, 3.611268
2.020000, 3.000665, 2.821119, 2.020000, 2.586179, 3.640782
2.030000, 2.995809, 2.837702, 2.030000, 2.707022, 3.670405
2.040000, 3.003005, 2.854306, 2.040000, 2.991820, 3.700139
2.050000, 3.024723, 2.870930, 2.050000, 3.739511, 3.729983
2.060000, 3.062978, 2.887577, 2.060000, 4.373889, 3.759938
2.070000, 3.119099, 2.904245, 2.070000, 3.707378, 3.790003
2.080000, 3.193287, 2.920934, 2.080000, 3.313631, 3.820179
2.090000, 3.283858, 2.937646, 2.090000, 3.173059, 3.850465
2.100000, 3.386062, 2.954379, 2.100000, 3.153372, 3.880862
2.110000, 3.490772, 2.971135, 2.110000, 3.310232, 3.911369
2.120000, 3.584150, 2.987914, 2.120000, 4.628167, 3.941986
2.130000, 3.650527, 3.004715, 2.130000, 3.493489, 3.972714
2.140000, 3.679152, 3.021540, 2.140000, 3.153360, 4.003552
2.150000, 3.670541, 3.038387, 2.150000, 3.127710, 4.034501
2.160000, 3.635838, 3.055257, 2.160000, 3.170886, 4.065561
2.170000, 3.589521, 3.072151, 2.170000, 3.258385, 4.096731
2.180000, 3.542961, 3.089068, 2.180000, 3.416905, 4.128011
2.190000, 3.503035, 3.106008, 2.190000, 3.833566, 4.159402
2.200000, 3.474039, 3.122973, 2.200000, 5.094480, 4.190904
2.210000, 3.459609, 3.139961, 2.210000, 4.599794, 4.222516
2.220000, 3.463513, 3.156973, 2.220000, 4.067194, 4.254239
2.230000, 3.489497, 3.174009, 2.230000, 3.938364, 4.286072
2.240000, 3.540673, 3.191069, 2.240000, 3.933012, 4.318016
2.250000, 3.618702, 3.208153, 2.250000, 4.030685, 4.350071
2.260000, 3.722585, 3.225261, 2.260000, 5.015673, 4.382237
2.270000, 3.846685, 3.242394, 2.270000, 4.346821, 4.414513
2.280000, 3.978114, 3.259551, 2.280000, 4.034336, 4.446900
2.290000, 4.095526, 3.276733, 2.290000, 4.027553, 4.479398
2.300000, 4.173949, 3.293939, 2.300000, 4.067130, 4.512007
2.310000, 4.197638, 3.311170, 2.310000, 4.126871, 4.544727
2.320000, 4.170763, 3.328425, 2.320000, 4.206134, 4.577557
2.330000, 4.112616, 3.345705, 2.330000, 4.373661, 4.610499
2.340000, 4.042747, 3.363009, 2.340000, 5.293386, 4.643552
2.350000, 3.972656, 3.380338, 2.350000, 5.553297, 4.676715
2.360000, 3.907660, 3.397692, 2.360000, 4.703928, 4.709990
2.370000, 3.851758, 3.415070, 2.370000, 4.554936, 4.743376
2.380000, 3.810342, 3.432473, 2.380000, 4.552747, 4.776873
2.390000, 3.790279, 3.449901, 2.390000, 4.623995, 4.810482
2.400000, 3.798724, 3.467353, 2.400000, 5.227210, 4.844201
2.410000, 3.841846, 3.484829, 2.410000, 4.914913, 4.878032
2.420000, 3.923502, 3.502331, 2.420000, 4.715188, 4.911975
2.430000, 4.043388, 3.519856, 2.430000, 4.743922, 4.946029
2.440000, 4.193560, 3.537407, 2.440000, 4.810039, 4.980194
2.450000, 4.353471, 3.554981, 2.450000, 4.900040, 5.014471
2.460000, 4.487834, 3.572580, 2.460000, 5.003625, 5.048859
2.470000, 4.558121, 3.590203, 2.470000, 5.118564, 5.083360
2.480000, 4.549218, 3.607851, 2.480000, 5.505085, 5.117971
2.490000, 4.482946, 3.625522, 2.490000, 6.472196, 5.152695
2.500000, 4.395610, 3.643218, 2.500000, 5.285766, 5.187531
2.510000, 4.309524, 3.660937, 2.510000, 5.111080, 5.222478
2.520000, 4.229133, 3.678680, 2.520000, 5.081520, 5.257537
2.530000, 4.152748, 3.696447, 2.530000, 5.114899, 5.292709
2.540000, 4.082177, 3.714237, 2.540000, 5.520203, 5.327992
2.550000, 4.025023, 3.732051, 2.550000, 5.299580, 5.363388
2.560000, 3.992384, 3.749888, 2.560000, 5.188766, 5.398896
2.570000, 3.995884, 3.767748, 2.570000, 5.222830, 5.434516
2.580000, 4.045704, 3.785632, 2.580000, 5.290696, 5.470249
2.590000, 4.149315, 3.803538, 2.590000, 5.392032, 5.506094
2.600000, 4.308988, 3.821467, 2.600000, 5.525040, 5.542052
2.610000, 4.515671, 3.839418, 2.610000, 5.671347, 5.578122
2.620000, 4.738221, 3.857392, 2.620000, 5.892007, 5.614305
2.630000, 4.917287, 3.875388, 2.630000, 7.449451, 5.650601
2.640000, 4.990059, 3.893406, 2.640000, 5.764195, 5.687010
2.650000, 4.946480, 3.911445, 2.650000, 5.559582, 5.723531
2.660000, 4.840537, 3.929506, 2.660000, 5.508523, 5.760166
2.670000, 4.729239, 3.947589, 2.670000, 5.525781, 5.796914
2.680000, 4.630086, 3.965693, 2.680000, 5.856311, 5.833775
2.690000, 4.533520, 3.983817, 2.690000, 5.705696, 5.870749
2.700000, 4.429723, 4.001963, 2.700000, 5.650033, 5.907837
2.710000, 4.322086, 4.020129, 2.710000, 5.680547, 5.945038
2.720000, 4.225682, 4.038315, 2.720000, 5.739303, 5.982353
2.730000, 4.159723, 4.056521, 2.730000, 5.836392, 6.019781
2.740000, 4.142036, 4.074746, 2.740000, 5.987675, 6.057323
2.750000, 4.187367, 4.092992, 2.750000, 6.197590, 6.094979
2.760000, 4.307599, 4.111256, 2.760000, 6.459644, 6.132749
2.770000, 4.509764, 4.129539, 2.770000, 8.542284, 6.170633
2.780000, 4.786641, 4.147841, 2.780000, 6.514426, 6.208631
2.790000, 5.095615, 4.166161, 2.790000, 6.231194, 6.246744
2.800000, 5.343071, 4.184499, 2.800000, 6.102945, 6.284971
2.810000, 5.434827, 4.202854, 2.810000, 6.084653, 6.323312
2.820000, 5.381500, 4.221227, 2.820000, 6.484502, 6.361768
2.830000, 5.282751, 4.239617, 2.830000, 6.198363, 6.400338
2.840000, 5.205451, 4.258024, 2.840000, 6.190075, 6.439024
2.850000, 5.145846, 4.276447, 2.850000, 6.205839, 6.477824
2.860000, 5.071337, 4.294886, 2.860000, 6.235117, 6.516739
2.870000, 4.962960, 4.313341, 2.870000, 6.296866, 6.555770
2.880000, 4.829884, 4.331811, 2.880000, 6.418304, 6.594915
2.890000, 4.699501, 4.350296, 2.890000, 6.633229, 6.634176
2.900000, 4.601524, 4.368796, 2.900000, 6.983636, 6.673553
2.910000, 4.559818, 4.387310, 2.910000, 8.895222, 6.713045
2.920000, 4.592720, 4.405837, 2.920000, 7.452094, 6.752653
2.930000, 4.715787, 4.424378, 2.930000, 7.219194, 6.792377
2.940000, 4.940449, 4.442932, 2.940000, 7.003599, 6.832216
2.950000, 5.259029, 4.461499, 2.950000, 6.933216, 6.872172
2.960000, 5.606709, 4.480078, 2.960000, 9.027355, 6.912244
2.970000, 5.839603, 4.498669, 2.970000, 7.002160, 6.952432
2.980000, 5.853886, 4.517270, 2.980000, 7.013397, 6.992737
2.990000, 5.738648, 4.535883, 2.990000, 7.003523, 7.033159
3.000000, 5.645445, 4.554507, 3.000000, 6.982492, 7.073697
3.010000, 5.617062, 4.573140, 3.010000, 6.975468, 7.114352
3.020000, 5.606175, 4.591783, 3.020000, 7.012969, 7.155124
3.030000, 5.552292, 4.610434, 3.030000, 7.135170, 7.196013
3.040000, 5.433809, 4.629095, 3.040000, 7.417413, 7.237020
3.050000, 5.275923, 4.647764, 3.050000, 8.380390, 7.278144
3.060000, 5.123502, 4.666440, 3.060000, 8.139752, 7.319385
3.070000, 5.014926, 4.685123, 3.070000, 8.051271, 7.360744
3.080000, 4.975771, 4.703813, 3.080000, 7.678187, 7.402221
3.090000, 5.024740, 4.722510, 3.090000, 7.463346, 7.443816
3.100000, 5.179809, 4.741211, 3.100000, 7.564923, 7.485530
3.110000, 5.455113, 4.759918, 3.110000, 7.478441, 7.527361
3.120000, 5.831223, 4.778630, 3.120000, 7.502128, 7.569311
3.130000, 6.183063, 4.797346, 3.130000, 7.467708, 7.611380
3.140000, 6.285119, 4.816065, 3.140000, 7.392559, 7.653567
3.150000, 6.108009, 4.834787, 3.150000, 7.315651, 7.695873
3.160000, 5.904532, 4.853511, 3.160000, 7.274415, 7.738298
3.170000, 5.835758, 4.872237, 3.170000, 7.306527, 7.780843
3.180000, 5.867855, 4.890965, 3.180000, 7.482333, 7.823506
3.190000, 5.887888, 4.909693, 3.190000, 7.943529, 7.866290
3.200000, 5.804842, 4.928422, 3.200000, 8.355740, 7.909193
3.210000, 5.612561, 4.947149, 3.210000, 8.660511, 7.952215
3.220000, 5.375936, 4.965876, 3.220000, 8.193501, 7.995358
3.230000, 5.167070, 4.984601, 3.230000, 7.723183, 8.038621
3.240000, 5.030156, 5.003324, 3.240000, 7.625288, 8.082005
3.250000, 4.987370, 5.022044, 3.250000, 7.728077, 8.125508
3.260000, 5.055931, 5.040760, 3.260000, 7.850237, 8.169133
3.270000, 5.259171, 5.059472, 3.270000, 7.844563, 8.212878
3.280000, 5.620047, 5.078180, 3.280000, 7.708928, 8.256744
3.290000, 6.100191, 5.096882, 3.290000, 7.529095, 8.300732
3.300000, 6.458191, 5.115577, 3.300000, 7.382398, 8.344841
3.310000, 6.378307, 5.134266, 3.310000, 7.310843, 8.389071
3.320000, 6.047298, 5.152948, 3.320000, 7.363419, 8.433423
3.330000, 5.860491, 5.171621, 3.330000, 7.581355, 8.477897
3.340000, 5.900219, 5.190286, 3.340000, 8.036317, 8.522494
3.350000, 6.044888, 5.208941, 3.350000, 8.822566, 8.567212
3.360000, 6.116359, 5.227586, 3.360000, 8.892911, 8.612053
3.370000, 5.998683, 5.246219, 3.370000, 8.157663, 8.657016
3.380000, 5.728489, 5.264842, 3.380000, 7.830271, 8.702102
3.390000, 5.429552, 5.283452, 3.390000, 7.982561, 8.747311
3.400000, 5.195641, 5.302049, 3.400000, 8.349535, 8.792644
3.410000, 5.065132, 5.320632, 3.410000, 8.646304, 8.838099
3.420000, 5.051322, 5.339200, 3.420000, 8.662570, 8.883679
3.430000, 5.170795, 5.357754, 3.430000, 8.458234, 8.929382
3.440000, 5.457622, 5.376291, 3.440000, 8.220796, 8.975208
3.450000, 5.947750, 5.394812, 3.450000, 8.058519, 9.021160
3.460000, 6.545573, 5.413315, 3.460000, 8.034068, 9.067235
3.470000, 6.785852, 5.431799, 3.470000, 8.091549, 9.113435
3.480000, 6.421227, 5.450265, 3.480000, 8.361079, 9.159760
3.490000, 6.031657, 5.468710, 3.490000, 9.050760, 9.206209
3.500000, 5.968617, 5.487135, 3.500000, 9.942570, 9.252784
3.510000, 6.176630, 5.505539, 3.510000, 9.396523, 9.299484
3.520000, 6.460973, 5.523920, 3.520000, 8.609109, 9.346309
3.530000, 6.571452, 5.542278, 3.530000, 8.567175, 9.393261
3.540000, 6.386937, 5.560612, 3.540000, 8.921379, 9.440338
3.550000, 6.035807, 5.578921, 3.550000, 9.470293, 9.487542
3.560000, 5.706789, 5.597205, 3.560000, 9.829083, 9.534871
3.570000, 5.490972, 5.615462, 3.570000, 9.700583, 9.582328
3.580000, 5.406296, 5.633692, 3.580000, 9.325623, 9.629911
3.590000, 5.456525, 5.651893, 3.590000, 9.014776, 9.677621
3.600000, 5.665332, 5.670066, 3.600000, 11.177357, 9.725459
3.610000, 6.092246, 5.688209, 3.610000, 8.850761, 9.773424
3.620000, 6.789041, 5.706321, 3.620000, 8.996517, 9.821516
3.630000, 7.466443, 5.724401, 3.630000, 9.452406, 9.869736
3.640000, 7.306943, 5.742449, 3.640000, 10.598580, 9.918085
3.650000, 6.629895, 5.760463, 3.650000, 10.880132, 9.966562
3.660000, 6.290092, 5.778443, 3.660000, 9.554305, 10.015167
3.670000, 6.381186, 5.796387, 3.670000, 9.170005, 10.063901
3.680000, 6.751692, 5.814296, 3.680000, 9.306217, 10.112765
3.690000, 7.137557, 5.832167, 3.690000, 9.799227, 10.161757
3.700000, 7.190123, 5.850000, 3.700000, 10.523439, 10.210879
3.710000, 6.846013, 5.867794, 3.710000, 10.844904, 10.260131
3.720000, 6.387639, 5.885548, 3.720000, 10.397184, 10.309512
3.730000, 6.035266, 5.903261, 3.730000, 9.814142, 10.359024
3.740000, 5.840560, 5.920933, 3.740000, 9.460975, 10.408666
3.750000, 5.793344, 5.938561, 3.750000, 9.289957, 10.458438
3.760000, 5.892223, 5.956146, 3.760000, 9.288274, 10.508342
3.770000, 6.177105, 5.973685, 3.770000, 9.482990, 10.558377
3.780000, 6.749846, 5.991179, 3.780000, 10.190947, 10.608543
3.790000, 7.648596, 6.008626, 3.790000, 11.780270, 10.658840
3.800000, 8.102847, 6.026026, 3.800000, 10.412413, 10.709270
3.810000, 7.383777, 6.043376, 3.810000, 9.625038, 10.759831
3.820000, 6.723704, 6.060676, 3.820000, 9.577461, 10.810525
3.830000, 6.586391, 6.077926, 3.830000, 9.858367, 10.861352
3.840000, 6.853925, 6.095124, 3.840000, 10.504468, 10.912311
3.850000, 7.367738, 6.112268, 3.850000, 11.426908, 10.963403
3.860000, 7.761498, 6.129359, 3.860000, 11.491005, 11.014629
3.870000, 7.603322, 6.146395, 3.870000, 10.672435, 11.065988
3.880000, 7.054109, 6.163374, 3.880000, 10.089616, 11.117481
3.890000, 6.543267, 6.180296, 3.890000, 9.821969, 11.169108
3.900000, 6.225539, 6.197160, 3.900000, 9.769386, 11.220870
3.910000, 6.088386, 6.213965, 3.910000, 9.873672, 11.272766
3.920000, 6.104111, 6.230709, 3.920000, 10.247518, 11.324797
3.930000, 6.281412, 6.247392, 3.930000, 11.702517, 11.376963
3.940000, 6.697754, 6.264012, 3.940000, 11.919949, 11.429265
3.950000, 7.518970, 6.280568, 3.950000, 10.459606, 11.481702
3.960000, 8.519794, 6.297059, 3.960000, 10.283793, 11.534275
3.970000, 8.117873, 6.313484, 3.970000, 10.443378, 11.586985
3.980000, 7.118140, 6.329842, 3.980000, 10.856346, 11.639830
3.990000, 6.736190, 6.346132, 3.990000, 11.732151, 11.692813
