CDP Diameter, Qscat (1.54 + 0.01)
      5, 7.10042572021
   5.01, 7.07058668137
   5.02, 7.04883575439
   5.03, 7.03755664825
   5.04, 7.03807640076
   5.05, 7.04951000214
   5.06, 7.06865739822
   5.07, 7.09129667282
   5.08, 7.11295127869
   5.09, 7.12943792343
    5.1, 7.13842487335
   5.11, 7.14061546326
   5.12, 7.13951730728
   5.13, 7.13941764832
   5.14, 7.14196014404
   5.15, 7.14571809769
   5.16, 7.15027475357
   5.17, 7.15774345398
   5.18, 7.17144060135
   5.19, 7.19536209106
    5.2, 7.23345470428
   5.21, 7.28685092926
   5.22, 7.35121774673
   5.23, 7.41897296906
   5.24, 7.48312950134
   5.25, 7.53896665573
   5.26, 7.58485126495
   5.27,  7.6227684021
   5.28,  7.6572098732
   5.29,  7.6913356781
    5.3, 7.72357606888
   5.31, 7.75113105774
   5.32, 7.77384185791
   5.33, 7.79372215271
   5.34, 7.81451225281
   5.35, 7.84225893021
   5.36, 7.88400316238
   5.37, 7.94195461273
   5.38,  8.0105009079
   5.39,  8.0814332962
    5.4, 8.14826202393
   5.41, 8.20729255676
   5.42, 8.25818443298
   5.43,  8.3040971756
   5.44, 8.34870624542
   5.45, 8.39147758484
   5.46, 8.42832183838
   5.47, 8.45649909973
   5.48, 8.47553539276
   5.49, 8.48675727844
    5.5, 8.49417972565
   5.51, 8.50554656982
   5.52, 8.52854347229
   5.53, 8.56363391876
   5.54, 8.60507392883
   5.55, 8.64707756042
   5.56, 8.68584918976
   5.57, 8.72006511688
   5.58, 8.75157165527
   5.59, 8.78389644623
    5.6, 8.81765365601
   5.61,   8.849152565
   5.62, 8.87436389923
   5.63, 8.89099788666
   5.64, 8.89809417725
   5.65, 8.89667797089
   5.66, 8.89145851135
   5.67, 8.89023399353
   5.68, 8.89739131927
   5.69, 8.91060829163
    5.7, 8.92579174042
   5.71, 8.94020748138
   5.72,  8.9527053833
   5.73, 8.96450424194
   5.74, 8.97876834869
   5.75, 8.99706077576
   5.76, 9.01703166962
   5.77, 9.03501319885
   5.78, 9.04815483093
   5.79, 9.05448436737
    5.8, 9.05321502686
   5.81, 9.04629230499
   5.82, 9.03925991058
   5.83, 9.03713798523
   5.84, 9.03984832764
   5.85, 9.04476833344
   5.86, 9.05010223389
   5.87, 9.05514621735
   5.88, 9.06064510345
   5.89, 9.06897354126
    5.9, 9.08181381226
   5.91, 9.09789943695
   5.92, 9.11442089081
   5.93, 9.12864971161
   5.94, 9.13820171356
   5.95, 9.14139270782
   5.96, 9.13851261139
   5.97, 9.13305664062
   5.98, 9.12947845459
   5.99, 9.12898349762
      6, 9.13029193878
   6.01, 9.13247299194
   6.02, 9.13523578644
   6.03,  9.1390581131
   6.04, 9.14549636841
   6.05, 9.15593147278
   6.06, 9.16986274719
   6.07, 9.18545055389
   6.08, 9.20049858093
   6.09, 9.21251487732
    6.1, 9.21909809113
   6.11, 9.21919059753
   6.12, 9.21436595917
   6.13, 9.20781612396
   6.14, 9.20123386383
   6.15,  9.1946144104
   6.16, 9.18802070618
   6.17, 9.18164539337
   6.18, 9.17567825317
   6.19, 9.17092609406
    6.2, 9.16841983795
   6.21, 9.16833400726
   6.22, 9.16999721527
   6.23, 9.17219352722
   6.24, 9.17295265198
   6.25, 9.16981697083
   6.26, 9.16091632843
   6.27,  9.1462726593
