CAS Diameter, Qscat (1.54 + 0)
   6.11, 11.3920974731
   6.12, 11.4488773346
   6.13, 11.5192565918
   6.14, 11.5833034515
   6.15, 11.6233711243
   6.16, 11.6283283234
   6.17, 11.0223989487
   6.18, 11.5432596207
   6.19, 11.5716981888
    6.2, 11.5421543121
   6.21, 11.4888439178
   6.22, 11.4695520401
   6.23, 11.4754905701
   6.24, 11.2277269363
   6.25, 11.5302267075
   6.26, 11.5311365128
   6.27, 11.5632667542
   6.28, 11.6390733719
   6.29, 11.7427816391
    6.3, 11.8427524567
   6.31, 11.9098892212
   6.32, 11.9200677872
   6.33, 11.6171302795
   6.34, 11.8458166122
   6.35, 11.8228931427
   6.36, 11.8057689667
   6.37, 11.7974948883
   6.38, 11.7585020065
   6.39, 11.6863059998
    6.4, 11.6968460083
   6.41, 11.6495943069
   6.42, 11.6081085205
   6.43, 11.5929822922
   6.44, 11.6262712479
   6.45,  11.705327034
   6.46, 11.7978725433
   6.47, 11.8635091782
   6.48, 11.8184595108
   6.49, 11.8060016632
    6.5, 11.7622261047
   6.51, 11.6789503098
   6.52, 11.6342630386
   6.53, 11.7118902206
   6.54, 11.7223815918
   6.55, 11.3585252762
   6.56, 11.5665550232
   6.57, 11.4661922455
   6.58, 11.3860969543
   6.59, 11.3259439468
    6.6,  11.294752121
   6.61, 11.3011932373
   6.62, 11.3288860321
   6.63, 11.3369960785
   6.64, 11.0406894684
   6.65, 11.2211151123
   6.66, 11.0843057632
   6.67, 10.9053888321
   6.68, 10.7536344528
   6.69, 10.8861989975
    6.7,  10.964258194
   6.71, 10.9178495407
   6.72, 10.7512331009
   6.73, 10.6076946259
   6.74, 10.5126056671
   6.75, 10.4768810272
   6.76, 10.4627113342
   6.77, 10.4586706161
   6.78, 10.4666614532
   6.79, 10.4342765808
    6.8, 10.4416913986
   6.81, 10.3353500366
   6.82,  10.159029007
   6.83, 9.90792274475
   6.84, 9.62438392639
   6.85, 9.78603076935
   6.86, 10.0838422775
   6.87, 9.85085487366
   6.88,   9.652384758
   6.89, 9.45055389404
    6.9, 9.30575180054
   6.91, 9.30237865448
   6.92,  9.3595867157
   6.93, 9.39719676971
   6.94, 9.43155956268
   6.95, 9.52137470245
   6.96, 9.54316425323
   6.97, 9.51118755341
   6.98, 9.40983963013
   6.99, 9.20734500885
      7, 8.88762569427
   7.01, 9.15252590179
   7.02, 9.49434757233
   7.03, 9.36601448059
   7.04, 9.18037033081
   7.05, 8.95412635803
   7.06,  8.7371263504
   7.07, 8.72967910767
   7.08, 8.87261199951
   7.09, 8.95364952087
    7.1, 8.96471881866
   7.11, 9.14788246155
   7.12, 9.21857452393
   7.13, 9.26677703857
   7.14, 9.26037311554
   7.15, 9.14945793152
   7.16, 8.83695220947
   7.17, 9.44918346405
   7.18, 9.78654766083
   7.19, 9.77017021179
    7.2, 9.69085121155
   7.21, 9.53956031799
   7.22, 9.31078052521
   7.23,  9.2889175415
   7.24,  9.5639333725
   7.25, 9.71304893494
   7.26, 9.87905597687
   7.27, 9.94407272339
   7.28, 10.0356140137
   7.29, 10.1036062241
    7.3, 10.1242494583
   7.31, 10.0392465591
   7.32, 9.71963214874
   7.33,   10.46986866
   7.34,  10.804901123
   7.35,  10.866019249
   7.36, 10.8776960373
   7.37,  10.811750412
   7.38, 10.5962285995
   7.39, 10.4851169586
    7.4, 10.8870658875
   7.41, 10.9828948975
   7.42, 11.3214216232
   7.43, 11.4552679062
   7.44, 11.5758419037
   7.45,  11.658162117
   7.46, 11.6836996078
   7.47, 11.5807580948
   7.48, 11.0933609009
   7.49, 11.9923677444
    7.5, 12.2054462433
   7.51, 12.2596597672
   7.52, 12.2743501663
   7.53,  12.218462944
   7.54, 11.9850111008
   7.55, 11.6537075043
   7.56, 12.0310258865
   7.57, 12.3081007004
   7.58, 12.4480829239
   7.59, 12.5776929855
    7.6, 12.6845054626
   7.61, 12.7506790161
   7.62,  12.764465332
   7.63, 12.6788835526
   7.64,  12.091053009
   7.65, 12.9920949936
   7.66, 13.1124477386
   7.67, 13.1616382599
   7.68, 13.1745014191
   7.69, 13.1205844879
    7.7, 12.9014444351
   7.71,  12.379368782
   7.72, 12.6190567017
   7.73, 12.7513551712
   7.74, 12.8035459518
   7.75, 12.8401470184
   7.76, 12.8382396698
   7.77, 12.7945346832
   7.78, 12.7189712524
   7.79, 12.5531024933
    7.8, 12.1411132812
   7.81, 12.6973323822
   7.82,  12.735285759
   7.83, 12.7738828659
   7.84,  12.801533699
   7.85, 12.7853822708
